Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,First seen
school milk bags,us,0.0,200.0,,0.2,school lunch milk bag,########,"People also ask,Thumbnail,Discussions",200.0,450.0,
birthday goodie bags for school,us,0.0,150.0,,,goodie bag ideas,########,"Thumbnail,People also ask,Shopping results,Image pack,Discussions",200.0,4600.0,
school bags for high school,us,14.0,150.0,,,high school backpacks,########,"Shopping results,Thumbnail,Discussions,Videos,Bottom ads,Paid sitelinks",1200.0,1400.0,
pencil bags for school,us,3.0,150.0,,,pencil pouch,########,"Shopping results,Thumbnail,Discussions,Image pack",200.0,2800.0,
easy valentine bags for school,us,1.0,150.0,,,valentine's day bag craft,########,"Image pack,Thumbnail,Shopping results",200.0,600.0,
pottery barn school bags,us,9.0,150.0,,,pottery barn backpacks,########,"Thumbnail,Shopping results,People also ask",300.0,19000.0,
back to school book bags,us,10.0,150.0,,,back to school backpacks,########,"Thumbnail,Discussions,Shopping results,Videos",250.0,400.0,
victorias secret school bags,us,1.0,150.0,0.2,,pink school backpack,########,"Thumbnail,Shopping results,Image pack",150.0,500.0,
tote bags for school with zipper,us,1.0,150.0,,,tote bags for school,########,Thumbnail,250.0,1200.0,
snack bags for school,us,1.0,150.0,,,snack bags for school,########,"Shopping results,Thumbnail,Image pack,Discussions",200.0,60.0,
mesh school book bags,us,2.0,150.0,0.8,,clear mesh backpack,########,"Shopping results,Thumbnail,Image pack",150.0,400.0,
valentines bags for school,us,0.0,150.0,,,valentines bags for school,########,"Image pack,Shopping results,Thumbnail,Discussions",200.0,400.0,
black school bags for girls,us,0.0,150.0,,,black backpack for school girl,########,"Image pack,Thumbnail,Shopping results",5100.0,200.0,
nike school bags for girls,us,0.0,150.0,,,nike backpacks for school girl,########,"Shopping results,Thumbnail,Image pack",3300.0,1600.0,
school purses bags,us,2.0,150.0,0.3,,purses for school,########,"Thumbnail,Image pack,Videos",150.0,350.0,
girls' book bags for school,us,6.0,150.0,,,backpacks for girls,########,"Shopping results,Thumbnail,Discussions",150.0,7300.0,
boys school bags,us,5.0,150.0,,,boys' school backpacks,########,"Shopping results,Thumbnail,Image pack,Videos",2700.0,1200.0,
best school bags,us,10.0,100.0,,0.81,best backpacks for college,########,"Thumbnail,Shopping results,Discussions",1600.0,20000.0,
school lunch bags,us,7.0,100.0,,,lunch bags,########,"Shopping results,Thumbnail,Discussions,Image pack,Videos",800.0,2800.0,
halloween goodie bags for school,us,2.0,100.0,,,halloween goodie bag fillers,########,"Image pack,Thumbnail,Discussions,Shopping results",100.0,250.0,
cheap school bags,us,14.0,100.0,,,cheap school bags,########,"Shopping results,Thumbnail,Image pack",1000.0,80.0,
best tote bags for school,us,7.0,100.0,,,tote bag for school,########,"Thumbnail,Discussions",200.0,2300.0,
side bags for school,us,1.0,100.0,,,school sholder bags,########,"Shopping results,Thumbnail,Discussions,Image pack,People also ask",250.0,300.0,
jansport school bags,us,1.0,100.0,,,school backpacks,########,"Thumbnail,Shopping results,Image pack",1600.0,11000.0,
christmas treat bags for school,us,0.0,100.0,,,christmas goodie bags ideas,########,"Shopping results,Thumbnail,Image pack,People also ask,Discussions",100.0,350.0,
free book bags with school supplies 2015,us,0.0,100.0,0.0,,school supplies giveaway 2015,########,"Thumbnail,Image pack",100.0,50.0,
messenger school bags,us,2.0,100.0,,,messenger bag for school,########,"Thumbnail,Shopping results,Discussions,Image pack",250.0,350.0,
boys' book bags for school,us,5.0,100.0,,,boys' school backpacks,########,"Shopping results,Thumbnail,Image pack",150.0,1200.0,
teacher bags for school,us,2.0,100.0,,,teacher bag,########,"Shopping results,Thumbnail,Discussions",150.0,1200.0,
school satchels bags,us,2.0,100.0,0.7,,school satchell,########,"Thumbnail,People also ask,Shopping results,Image pack,Videos",100.0,200.0,
tote bags for school college,us,1.0,100.0,,1.22,school tote bag for college,########,"Shopping results,Thumbnail,People also ask,Discussions,Image pack",200.0,600.0,
black school bags,us,0.0,90.0,,,black backpack for school,########,"Image pack,Thumbnail,Shopping results,Videos",1700.0,500.0,
high school book bags,us,12.0,90.0,,0.46,high school backpacks,########,"People also ask,Shopping results,Thumbnail,Discussions,Videos,Image pack",150.0,1100.0,
school bags with wheels,us,2.0,80.0,,,school bags with wheels,########,"Shopping results,Thumbnail,Discussions",2200.0,40.0,
bags of milk school,us,0.0,80.0,,,bag of milk,########,"Image pack,People also ask,Thumbnail",80.0,450.0,
school bags for women,us,3.0,80.0,,,women's backpacks for school,########,"Shopping results,Thumbnail,Image pack",1200.0,450.0,
best school bags for girls,us,2.0,80.0,,,school bags for girls,########,"Shopping results,Thumbnail,Image pack,Discussions",2100.0,450.0,
over the shoulder bags for school,us,1.0,80.0,,0.52,school sholder bags,########,"People also ask,Thumbnail,Image pack",200.0,300.0,
personalised school bags,us,3.0,80.0,,,personalised school bags,########,"Shopping results,Thumbnail,Discussions,Image pack,Videos",1400.0,20.0,
back to school goodie bags for students,us,0.0,80.0,,,back to school goody bags,########,"Image pack,Thumbnail,Discussions,Shopping results",100.0,40.0,
girls' school bags,us,6.0,80.0,,,school bags for girls,########,"Shopping results,Thumbnail",400.0,500.0,
puma school bags,us,1.0,80.0,,,puma baby boys backpacks,########,"Shopping results,Thumbnail,Image pack",3000.0,200.0,
school bags for teens,us,12.0,80.0,,0.83,school backpacks for teens,########,"Shopping results,Thumbnail,People also ask,Discussions,Image pack",600.0,1500.0,
school bags near me,us,22.0,80.0,,,backpacks for school,########,"Local pack,Shopping results,Thumbnail,Image pack",1400.0,5100.0,
nursing school bags,us,0.0,70.0,,,nursing school bag,########,"Shopping results,Thumbnail,People also ask,Discussions,Image pack",70.0,70.0,
school bags for girls with price,us,1.0,70.0,,,school bags for girls,########,"Shopping results,Thumbnail,Image pack",4700.0,500.0,
high school bags,us,14.0,70.0,,,high school backpacks,########,"Shopping results,Thumbnail,Image pack",600.0,1100.0,
cool school bags,us,1.0,70.0,,,school cool backpacks,########,"Image pack,Discussions,Thumbnail,Shopping results",1100.0,150.0,
milk in bags school,us,0.0,70.0,,,school lunch milk bag,########,"Image pack,People also ask,Thumbnail,Discussions",70.0,450.0,
crossbody bags for school,us,0.0,70.0,,1.04,crossbody book bag,########,"Thumbnail,Image pack,Videos",100.0,150.0,
walmart school book bags,us,5.0,70.0,0.8,,kids backpacks,########,"Thumbnail,Shopping results,Image pack",70.0,4700.0,
horse book bags for school,us,0.0,70.0,0.45,,horse backpack,########,"Thumbnail,Shopping results,Image pack",70.0,200.0,
school bags for adults,us,4.0,70.0,,0.57,adult backpacks,########,"Shopping results,Thumbnail,Discussions,Image pack",300.0,900.0,
rolling school bags,us,1.0,70.0,,,zucca skate bags,########,"Shopping results,Thumbnail,Discussions,Image pack",150.0,900.0,
crossbody messenger bags for school,us,2.0,70.0,0.8,,messenger bags for school,########,"Shopping results,Thumbnail,People also ask,Discussions,Image pack",70.0,600.0,
tote book bags for school,us,6.0,70.0,,,tote bag for school,########,"Thumbnail,Shopping results,People also ask,Discussions,Image pack",100.0,2500.0,
big school bags,us,7.0,60.0,,,big backpacks for high school,########,"Shopping results,Thumbnail,People also ask,Image pack,Videos",700.0,250.0,
milk bags school lunch,us,0.0,60.0,,,milk in a bag,########,"People also ask,Thumbnail,Discussions,Shopping results,Top stories",60.0,500.0,
book bags for high school,us,15.0,60.0,,,high school backpacks,########,"Shopping results,Thumbnail,Discussions,People also ask,Image pack",60.0,1300.0,
old school diaper bags,us,0.0,60.0,,,vintage diaper bag,########,"Shopping results,Thumbnail,Image pack,Discussions",60.0,70.0,
best school bags for boys,us,5.0,60.0,,,types of school bags,########,"Thumbnail,People also ask,Shopping results,Image pack",2400.0,0.0,
large tote bags for school,us,4.0,60.0,,,tote bag for school,########,"Thumbnail,Discussions",200.0,1100.0,
extra large tote bags for school,us,4.0,60.0,,,extra large tote bag,########,"Thumbnail,Image pack",60.0,400.0,
halloween treat bags for school,us,1.0,60.0,,,halloween snack bags,########,"Image pack,People also ask,Shopping results,Thumbnail,Discussions",70.0,450.0,
school tote bags for college,us,1.0,60.0,,,college tote bag,########,"Thumbnail,People also ask,Discussions,Image pack",70.0,900.0,
justice school bags,us,0.0,60.0,,,justice backpacks,########,"Thumbnail,Image pack,Shopping results",200.0,800.0,
reusable snack bags for school,us,7.0,60.0,,,best reusable ziplock bags,########,"Shopping results,Thumbnail,People also ask,Discussions,Image pack",60.0,700.0,
big tote bags for school,us,4.0,60.0,,,tote bag for school,########,"Shopping results,Thumbnail,Discussions,Image pack",80.0,2300.0,
school bags online,us,18.0,60.0,,,school bags,########,"Thumbnail,Discussions,Image pack,Bottom ads,Paid sitelinks",600.0,350.0,
nice book bags for school,us,26.0,60.0,1.2,,backpack,########,"Thumbnail,Shopping results,People also ask,Discussions",70.0,32000.0,
string bags for school,us,0.0,60.0,,,drawstring backpack,########,"Shopping results,Thumbnail,People also ask",70.0,2800.0,
designer school bags,us,1.0,60.0,,,expensive backpacks,########,"Shopping results,Thumbnail,Discussions",450.0,600.0,
lunch bags for school,us,5.0,60.0,,,kids lunch bag,########,"Shopping results,Thumbnail,Discussions,Image pack,Videos",150.0,800.0,
boys' school bags,us,5.0,50.0,,,boys' school backpacks,########,"Shopping results,Thumbnail",200.0,1300.0,
tote bags for school designer,us,20.0,50.0,,,designer tote bags,########,"Shopping results,Thumbnail,Discussions",50.0,7100.0,
back to school tote bags,us,4.0,50.0,,,tote bag for school,########,"Thumbnail,Discussions,People also ask,Videos",60.0,1100.0,
best bags for school,us,7.0,50.0,,,best backpacks for college,########,"Thumbnail,People also ask,Discussions,Shopping results",300.0,19000.0,
mesh school bags,us,0.0,50.0,,,clear mesh backpack,########,"Shopping results,Thumbnail,Image pack,Discussions",50.0,450.0,
target school bags,us,2.0,50.0,,,backpacks for school,########,"Thumbnail,Shopping results",350.0,4700.0,
old school baby bottles with bags,us,0.0,50.0,,,dropin bottles,########,"Image pack,Discussions,People also ask,Shopping results,Thumbnail",60.0,250.0,
cute school tote bags,us,3.0,50.0,,,tote bags for school,########,"Shopping results,Thumbnail,Image pack,Discussions",90.0,1600.0,
types of school bags,us,2.0,50.0,,,type of bags for school,########,"Featured snippet,Thumbnail,People also ask,Discussions,Image pack,Shopping results",600.0,10.0,
girl school bags,us,4.0,50.0,,,school bags for girls,########,"Shopping results,Thumbnail,Discussions,Image pack",500.0,450.0,
valentine's day gift bags for school,us,0.0,50.0,,,valentines bags for school,########,"Shopping results,Thumbnail,Discussions,Image pack",50.0,300.0,
school shoulder bags,us,1.0,50.0,,,shoulder bags for school,########,"Shopping results,Thumbnail,Image pack,Discussions,Videos",200.0,500.0,
school tote bags for teenage girl,us,0.0,50.0,,,school tote bags for teenage girl,########,"Thumbnail,People also ask",300.0,70.0,
vans school bags,us,0.0,50.0,,,vans backpacks,########,"Image pack,Thumbnail,Shopping results",2300.0,3800.0,
nike book bags for school,us,8.0,50.0,,,nike backpacks for school,########,"Shopping results,Thumbnail,Discussions,Image pack",50.0,1000.0,
clear school bags,us,5.0,50.0,,,clear backpack,########,"Thumbnail,People also ask,Shopping results,Image pack,Discussions,Videos",60.0,15000.0,
personalized school bags,us,4.0,50.0,,,personalized backpacks,########,"Shopping results,Thumbnail,Discussions,Image pack,Videos",200.0,2400.0,
valentine goodie bags for school,us,0.0,50.0,,,valentines bags for school,########,"Shopping results,Thumbnail,Image pack",50.0,300.0,
trolley school bags,us,0.0,50.0,,,trolley school bags,########,"Shopping results,Thumbnail,Image pack",1600.0,30.0,
1960s school bags,us,0.0,50.0,,,1960s school bags,########,"Image pack,Thumbnail,People also ask,Shopping results",90.0,10.0,
messenger bags for teenage girls for school,us,0.0,50.0,1.2,,messenger bags for girls,########,"Thumbnail,People also ask,Shopping results,Image pack",60.0,200.0,
leather school bags,us,0.0,50.0,,,leather schoolboy bag,########,"Shopping results,Thumbnail,Image pack,Videos",500.0,150.0,
girls bags for school,us,4.0,50.0,,,school bags for girls,########,"Shopping results,Thumbnail,Discussions,Image pack",700.0,500.0,
unique book bags for school,us,6.0,50.0,1.5,,cool backpacks for school,########,"Thumbnail,People also ask,Discussions,Shopping results,Image pack,Videos",60.0,80.0,
small snack bags for school,us,0.0,50.0,,,snack bags for school,########,"Shopping results,Thumbnail,Image pack,Discussions",70.0,60.0,
cute book bags for school,us,1.0,50.0,,,cute backpacks for school,########,"Thumbnail,Shopping results,People also ask,Discussions,Image pack",50.0,800.0,
big cross body bags for school,us,2.0,50.0,1.4,,crossbody book bag,########,"Shopping results,Thumbnail,People also ask,Image pack",60.0,200.0,
girl book bags for middle school,us,3.0,50.0,0.35,,girl book bags for middle school,########,"Thumbnail,People also ask,Shopping results,Discussions,Image pack",60.0,10.0,
old school golf bags,us,0.0,50.0,,,golf bags,########,"Thumbnail,Discussions,Shopping results,Image pack",70.0,700.0,
school bags for toddlers,us,1.0,50.0,,,toddler school bag,########,"Shopping results,Thumbnail,Discussions,Videos,Image pack",400.0,40.0,
bags for school tote,us,6.0,50.0,,,tote bags for school,########,"People also ask,Thumbnail,Discussions,Image pack,Videos",60.0,1600.0,
pink school bags,us,0.0,50.0,,,pink backpacks for school,########,"Shopping results,Thumbnail,People also ask,Image pack,Videos",450.0,600.0,
cute messenger bags for school,us,0.0,40.0,,,cute messenger bag,########,"Shopping results,Thumbnail,People also ask,Image pack,Discussions",70.0,150.0,
clear book bags for school,us,4.0,40.0,,,clear backpack,########,"Shopping results,Thumbnail,Discussions,Image pack",40.0,15000.0,
birthday treat bags for school,us,0.0,40.0,,,birthday goodie bags for school,########,"Image pack,People also ask,Shopping results,Thumbnail",50.0,30.0,
best baseball bags for high school,us,2.0,40.0,,,best baseball bags,########,"Shopping results,Thumbnail,Image pack",50.0,350.0,
best school tote bags,us,9.0,40.0,,,laptop tote,########,"Shopping results,Thumbnail,Top ads,Discussions,Image pack",40.0,9100.0,
pink nike school bags,us,0.0,40.0,,,pink nike bookbag,########,"Image pack,Shopping results,Thumbnail",700.0,2000.0,
tote bags school,us,5.0,40.0,,,tote bag for school,########,"People also ask,Thumbnail,Discussions",90.0,1100.0,
middle school book bags,us,3.0,40.0,,,school north face backpack,########,"Shopping results,Thumbnail,People also ask,Discussions,Videos",90.0,700.0,
designer school bags for teenage girl,us,,40.0,,,,,,450.0,,
large school bags,us,11.0,40.0,,,big backpacks for high school,########,"Thumbnail,Shopping results,Discussions,Image pack,Videos",400.0,300.0,
emergency bags for school,us,4.0,40.0,,,emergency bag for school,########,"People also ask,Shopping results,Thumbnail,Discussions",50.0,300.0,
satchel bags for school,us,0.0,40.0,,,school satchell,########,"Thumbnail,People also ask,Discussions,Image pack",200.0,200.0,
good tote bags for school,us,8.0,40.0,,,tote bag for school,########,"Shopping results,Thumbnail,Discussions",60.0,1100.0,
cool bags for school,us,3.0,40.0,,,school cool backpacks,########,"Image pack,Discussions,Thumbnail,Shopping results,People also ask",300.0,150.0,
roller bags for school,us,4.0,40.0,,,wheeled backpack for school,########,"Shopping results,Thumbnail,Discussions,People also ask",100.0,1000.0,
school bus tote bags,us,0.0,40.0,0.15,,bag bus,########,"Thumbnail,Image pack",40.0,20.0,
rolling bags for school,us,4.0,40.0,,,rolling backpacks for school,########,"Shopping results,Thumbnail,People also ask,Discussions",100.0,450.0,
big bags for school,us,6.0,40.0,,,large backpack for school,########,"Thumbnail,People also ask,Discussions,Shopping results",200.0,250.0,
old school coach bags,us,7.0,40.0,,,vintage coach bags,########,"People also ask,Image pack,Thumbnail",40.0,5700.0,
popular book bags for high school,us,11.0,40.0,0.7,,backpack,########,"Thumbnail,People also ask,Discussions,Shopping results",60.0,32000.0,
bags for school girl,us,5.0,40.0,,,school bags for girls,########,"Image pack,Shopping results,Thumbnail,Discussions,Videos",600.0,500.0,
emergency kit bags for school,us,2.0,40.0,,,emergency kit bags for school,########,"Thumbnail,People also ask,Shopping results,Image pack,Discussions",50.0,40.0,
bags for school 2015,us,0.0,40.0,0.06,,trending backpacks 2015,########,"Shopping results,Thumbnail,Image pack",40.0,150.0,
are messenger bags good for school,us,0.0,40.0,,,are messenger bags good for school,########,"Featured snippet,Thumbnail,People also ask",60.0,10.0,
school bags tumblr,us,0.0,40.0,0.09,,tumblr bags for school,########,"Image pack,Shopping results,Thumbnail",70.0,10.0,
smiggle school bags,us,0.0,40.0,,,smiggle school bags,########,"Shopping results,Thumbnail,Image pack",1700.0,10.0,
bags school,us,13.0,40.0,,,school bags,########,"Shopping results,Thumbnail,Image pack",1200.0,350.0,
school bags for sale,us,18.0,40.0,,,school bags,########,"Thumbnail,Local teaser pack,Videos,Shopping results,Image pack",500.0,400.0,
back to school goodie bags,us,0.0,40.0,,,back to school goodie bags for students,########,"Image pack,Shopping results,Thumbnail,People also ask,Discussions",50.0,30.0,
school bags for high school girl,us,3.0,40.0,,,trendy cute backpacks for high school,########,"Thumbnail,Shopping results,People also ask,Image pack",250.0,600.0,
hype school bags,us,0.0,40.0,,,hype bag,########,"Thumbnail,Shopping results,People also ask",1400.0,40.0,
disney book bags for school,us,0.0,40.0,0.8,,character backpacks,########,"Thumbnail,Shopping results,Image pack",70.0,600.0,
school tote bags for high school,us,4.0,40.0,,,tote bag for school,########,"Thumbnail,People also ask,Discussions,Image pack",50.0,2300.0,
school bags girls,us,8.0,40.0,,,school bags for girls,########,"Thumbnail,Image pack,Shopping results",900.0,300.0,
elementary school school milk bags,us,0.0,40.0,,,school lunch milk bag,########,"Thumbnail,People also ask,Image pack,Discussions",40.0,450.0,
toddler school bags,us,5.0,40.0,,,toddler school bag,########,"Shopping results,Thumbnail,Discussions,Image pack,Videos",500.0,40.0,
college school bags,us,11.0,40.0,,,college backpacks,########,"Thumbnail,Shopping results,Discussions,Image pack",250.0,2400.0,
canvas tote bags for school,us,3.0,30.0,,,tote bags for school,########,"Shopping results,Thumbnail,Discussions,Image pack,Videos",40.0,1500.0,
me bags for back to school,us,1.0,30.0,,,me bag,########,"Thumbnail,Image pack,People also ask,Discussions",30.0,100.0,
school bags for middle schoolers,us,8.0,30.0,,,middle school backpack,########,"Shopping results,Thumbnail,Discussions,Image pack",30.0,600.0,
under armour mesh school bags,us,0.0,30.0,1.3,,under armour mesh backpack,########,"Thumbnail,Image pack,Shopping results",30.0,150.0,
school purse bags,us,1.0,30.0,,,school purses,########,"People also ask,Image pack,Thumbnail",40.0,500.0,
secondary school bags for girls,us,2.0,30.0,,,school bags for girls,########,"Shopping results,Thumbnail,People also ask,Discussions,Image pack",150.0,400.0,
school bags on sale,us,22.0,30.0,,,school backpack sale,########,"Shopping results,Thumbnail,Videos,Image pack",150.0,450.0,
goodie bags for school birthday,us,0.0,30.0,,,goodie bag ideas,########,"Shopping results,Thumbnail,People also ask,Image pack",40.0,5000.0,
japanese school girl bags,us,0.0,30.0,0.01,,japanese school bag,########,"People also ask,Image pack,Shopping results,Thumbnail",40.0,200.0,
milk bags for school lunches,us,0.0,30.0,0.0,,milk in a bag,########,"Image pack,People also ask,Thumbnail,Shopping results,Top stories",30.0,350.0,
book bags for school at target,us,12.0,30.0,0.0,,backpacks for school,########,"Thumbnail,Shopping results,Image pack",30.0,7700.0,
school bags brands,us,9.0,30.0,,,best backpacks,########,"Thumbnail,People also ask,Shopping results,Discussions,Image pack,Videos",400.0,30000.0,
school book bags for girls,us,5.0,30.0,,,backpacks for girls,########,"Shopping results,Thumbnail,Image pack,Discussions",80.0,6200.0,
what to write on birthday goodie bags for school,us,0.0,30.0,,,goodie bags for kids,########,"People also ask,Thumbnail,Image pack,Shopping results",50.0,200.0,
girls school bags uk,us,0.0,30.0,,,girls school bags uk,########,"Thumbnail,Shopping results,Image pack",200.0,0.0,
trendy school bags,us,3.0,30.0,,,trendy high school backpacks,########,"Shopping results,Thumbnail,Image pack,Discussions",350.0,200.0,
valentine gift bags for school,us,0.0,30.0,,,valentines bags for school,########,"Shopping results,Thumbnail,Image pack,Discussions",30.0,350.0,
school side bags,us,1.0,30.0,,,school sholder bags,########,"Shopping results,Thumbnail,Image pack,Discussions",60.0,300.0,
cute school bags for girls,us,2.0,30.0,,,cute backpacks for school girl,########,"Image pack,Shopping results,Thumbnail,Discussions",800.0,500.0,
sturdy tote bags for school,us,4.0,30.0,,,tote bags for school,########,"Discussions,Thumbnail,Image pack",30.0,1700.0,
type of bags for school,us,4.0,30.0,3.0,,type of bags for school,########,"People also ask,Shopping results,Thumbnail,Discussions,Image pack",40.0,10.0,
one strap book bags school,us,2.0,30.0,0.15,,one strap backpack for school,########,"Thumbnail,Shopping results,Image pack",40.0,30.0,
channel school bags,us,0.0,30.0,0.1,,chanel backpack,########,"Image pack,Thumbnail,People also ask,Shopping results",30.0,5600.0,
black messenger bags for school,us,1.0,30.0,,,messenger bag for school,########,"Thumbnail,People also ask,Shopping results,Image pack",150.0,600.0,
old school bags,us,0.0,30.0,,,old backpacks,########,"Image pack,Thumbnail,Discussions,Shopping results",1000.0,30.0,
mens messenger bags for school,us,5.0,30.0,1.8,,messenger school bag,########,"People also ask,Discussions,Thumbnail,Image pack",40.0,600.0,
shoulder school bags,us,1.0,30.0,,,school sholder bags,########,"Shopping results,Thumbnail,Image pack,Discussions",150.0,350.0,
women's tote bags for school,us,7.0,30.0,,,tote bag for school,########,"Thumbnail,Discussions",30.0,2300.0,
school bean bags,us,0.0,30.0,,,dorm bean bag chair,########,"Shopping results,Thumbnail,Image pack",150.0,150.0,
small school bags,us,23.0,30.0,,,small school backpacks,########,"Thumbnail,Shopping results,Image pack,Discussions",900.0,70.0,
first day school back to school goodie bags for students,us,0.0,30.0,,,first day school back to school goodie bags for students,########,"Image pack,Thumbnail,Discussions,Shopping results",50.0,40.0,
cool school bags for boys,us,0.0,30.0,,,cool backpacks for boys,########,"Shopping results,Thumbnail,Image pack,Discussions,Videos",250.0,500.0,
wholesale school bags,us,24.0,30.0,,,wholesale backpacks,########,"Shopping results,Thumbnail,Image pack",150.0,1900.0,
back to school gift bags,us,0.0,30.0,,,back to school goodie bags for students,########,"Image pack,Thumbnail,People also ask,Shopping results,Discussions",40.0,40.0,
kindergarten birthday treat bags for school,us,0.0,30.0,,,birthday goodie bags for school,########,"People also ask,Thumbnail,Shopping results,Image pack",50.0,30.0,
cheap messenger bags for school,us,2.0,30.0,,,messenger bag for school,########,"Thumbnail,People also ask,Shopping results,Discussions,Image pack",150.0,350.0,
1980s school bags,us,0.0,30.0,,,1980s school bags,########,"Image pack,People also ask,Thumbnail,Shopping results",200.0,10.0,
kindergarten school bags,us,7.0,30.0,,,kindergarten backpack girl,########,"Shopping results,Thumbnail,People also ask,Image pack,Discussions",150.0,400.0,
school bags market,us,8.0,30.0,,,school bags market,########,Thumbnail,100.0,10.0,
valentines day bags for school,us,0.0,30.0,,,valentines bags for school,########,"Image pack,Shopping results,Thumbnail,Discussions",30.0,350.0,
school valentines day bags,us,0.0,30.0,,,valentines bags for school,########,"Shopping results,Thumbnail,Image pack,Discussions",30.0,300.0,
olden day 1960s school bags,us,0.0,30.0,,,1960s school bags,########,"Image pack,People also ask,Shopping results,Thumbnail",60.0,20.0,
hand bags for school,us,0.0,30.0,,,purse for school,########,"Image pack,Thumbnail,Discussions",400.0,350.0,
nike bags for school,us,8.0,30.0,,,nike backpacks for school,########,"Shopping results,Thumbnail,Image pack,Discussions",3600.0,1000.0,
disney school bags,us,0.0,30.0,,,disney store backpacks,########,"Thumbnail,Shopping results,Discussions,Image pack",300.0,500.0,
school juice bags,us,0.0,30.0,,,elementary school school juice pouch,########,"Thumbnail,Shopping results,Top stories",30.0,20.0,
milk in plastic bags school,us,1.0,30.0,,,school lunch milk bag,########,"Image pack,People also ask,Thumbnail,Discussions",30.0,450.0,
plastic book bags for school,us,0.0,30.0,,,book baggies,########,"Shopping results,Thumbnail,Discussions,Image pack",100.0,60.0,
high school bags for girls,us,4.0,30.0,,,trendy cute backpacks for high school,########,"Shopping results,Thumbnail,People also ask,Image pack,Discussions",450.0,450.0,
school bags for girls in high school,us,3.0,30.0,,,trendy cute backpacks for high school,########,"Thumbnail,People also ask,Image pack,Discussions,Shopping results,Videos",150.0,400.0,
middle school bags,us,3.0,30.0,,,middle school backpack,########,"Thumbnail,People also ask,Shopping results,Discussions,Image pack",30.0,900.0,
